 ,221057_111,221057_112,221057_113,221057_114,221057_116,221057_117,221057_118,221057_128,221057_146,221057_147,221481_427,221705_088,221726_105,221727_012,221727_014,221728_143,221728_144,221752_042,230011_212,230011_213,230011_214,230066_086,230066_088,230066_090,230066_091,230066_092,230080_302,231566_043,231567_009,233668_037,233668_038,233668_039,233668_040,233668_042,233668_043,233668_044,233668_045,233668_047,233668_050,233668_098,233795_010,220193_062,221420_005,220193_051,220193_054,220239_006,220239_022,220239_056,221089_110,221089_138,221367_105,221420_001,221420_006,221420_007,221420_009,221420_011,221420_015,221474_182,221474_200,221475_276,230066_111,230066_139,230066_144,233666_016,233666_017,233667_054,233667_067,233667_098,233667_101,233667_200,233667_209,220239_018,221367_106,221474_188,221513_027,233285_065,233285_067,233285_083,220239_058,221224_379,221367_104,221475_299,233666_001,233666_002,233666_003,233666_010,233666_011,233666_012,233666_013,233666_014,233666_035,233666_037,233666_039,233666_040,233666_041,233666_043,233666_044,233666_045,233666_051,233666_053,233666_055,233666_060,233666_063,233666_065,233666_244,233667_053,233667_055,233667_059,233667_061,233667_062,233667_065,233667_066,233667_088,233667_090,233667_097,233667_099,233667_112,233667_113,233667_124,233667_126,233667_194,233667_195,233667_196,233667_197,233667_198,233667_199,233667_202,233667_205,233667_210,233667_211,233667_212,233667_213,233667_214,233667_215,233667_216,233281_106,233285_085,233666_034,233666_038,233666_042,233666_054
="MOs5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="0",="1",="1",="0",="0",="0",="11",="0",="11",="0",="4",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="1",="0",="3",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="1",="1",="0",="0",="8",="0",="7",="0",="5",="1",="5",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="6",="8",="0",="1",="0",="0",="0",="20",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="1",="0",="2",="0",="0",="0",="0",="0",="2",="0",="0",="12",="1",="0",="1",="0",="5",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="4",="1",="0",="1",="2",="0",="0",="0",="6",="1",="3",="5",="0",="0",="0",="0",="0",="0",="2",="2",="0",="0",="0",="0",="0",="0",="0",="1",="2",="8",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="2",="0",="0",="0",="6",="0",="6",="0",="2",="0",="0",="10",="0",="0",="0",="1",="5",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="2",="0",="1",="5",="2",="0",="2",="2",="0",="0",="0",="3",="5",="0",="0",="0",="1",="0",="0",="0",="3",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0"
="VISam4",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="1",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0"
="VISam5",="0",="1",="3",="0",="2",="0",="1",="0",="2",="0",="0",="8",="1",="0",="1",="1",="1",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="1",="3",="0",="0",="3",="0",="0",="1",="1",="0",="1",="4",="2",="1",="0",="9",="0",="0",="0",="0",="5",="5",="0",="0",="0",="9",="3",="1",="1",="0",="0",="0",="4",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="5",="0",="0",="1",="3",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11",="0",="0",="0",="0"
="VISam6a",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="1",="0",="0",="5",="0",="0",="0",="1",="0",="1",="0",="7",="4",="0",="8",="0",="0",="0",="0",="0",="0",="2",="0",="0",="5",="4",="4",="0",="0",="0",="1",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="2",="3",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0"
="VISp1",="19",="2",="6",="0",="6",="0",="6",="10",="1",="6",="0",="0",="1",="5",="1",="0",="67",="0",="0",="0",="0",="3",="4",="0",="0",="1",="0",="0",="4",="0",="2",="5",="0",="0",="3",="0",="2",="2",="2",="4",="23",="0",="0",="0",="1",="6",="0",="0",="0",="8",="0",="1",="0",="5",="0",="0",="0",="0",="0",="3",="4",="0",="8",="0",="0",="0",="1",="0",="0",="16",="2",="0",="0",="0",="0",="2",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="7",="0",="0",="0",="0",="0",="0",="0",="3",="2",="0",="0",="3",="0",="1",="23",="48",="0",="16",="0",="0",="0",="0",="6",="0",="0",="0",="1",="0",="2",="10",="1",="3",="3",="0",="7",="0",="0",="1",="1",="0",="0",="2",="2",="0",="0",="0",="0",="1",="0"
="VISp2/3",="4",="3",="0",="0",="4",="0",="12",="19",="7",="6",="0",="0",="0",="4",="2",="0",="19",="1",="0",="0",="0",="3",="2",="0",="3",="1",="0",="0",="4",="10",="2",="11",="1",="2",="21",="0",="30",="5",="0",="20",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="0",="0",="1",="0",="0",="5",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0"
="VISp4",="0",="1",="0",="0",="1",="0",="6",="2",="5",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="3",="0",="0",="2",="1",="0",="0",="4",="2",="2",="2",="0",="0",="1",="0",="4",="3",="0",="4",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="4",="3",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="2",="0",="6",="0",="0",="0",="0",="0"
="VISp5",="2",="3",="0",="0",="10",="0",="5",="1",="5",="0",="0",="0",="0",="0",="2",="1",="3",="0",="0",="1",="0",="7",="5",="3",="0",="1",="1",="0",="1",="5",="4",="11",="2",="1",="5",="0",="6",="4",="0",="5",="3",="0",="0",="0",="0",="0",="2",="0",="0",="1",="5",="1",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="2",="1",="0",="7",="1",="1",="2",="0",="0",="1",="0",="0",="0",="0",="1",="2",="0",="4",="3",="8",="1",="1",="0",="2",="0",="3",="1",="1",="0",="1",="0",="0",="3",="0",="19",="2",="0",="5",="0",="5",="8",="6",="5",="0",="2",="1",="0",="0",="2",="3",="0",="0",="2",="0",="0",="9",="8",="0",="11",="0",="6",="2",="2",="5",="5",="0",="0",="3",="13",="6",="0",="1",="1",="1",="18"
="VISpm1",="9",="4",="3",="0",="2",="0",="0",="0",="4",="16",="0",="1",="15",="0",="7",="3",="8",="3",="5",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11",="0",="0",="2",="2",="0",="1",="1",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="3",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="6",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0"
="VISpm2/3",="3",="3",="1",="0",="1",="0",="2",="0",="2",="24",="0",="1",="2",="1",="7",="3",="2",="6",="0",="1",="0",="0",="1",="0",="4",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="0",="1",="3",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="2",="0",="0",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm5",="2",="13",="6",="0",="6",="1",="2",="0",="12",="5",="0",="0",="0",="0",="6",="0",="8",="0",="1",="3",="1",="0",="4",="3",="1",="7",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="4",="0",="0",="1",="0",="0",="0",="5",="0",="1",="4",="0",="4",="0",="0",="0",="2",="0",="0",="0",="0",="4",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="2",="5",="0",="7",="8",="0",="0",="3",="0",="0",="1",="0",="0",="4",="0",="0",="4",="2",="0",="0",="0",="0",="1",="0",="0",="4",="1",="0",="0",="0",="0",="0",="1",="2",="8",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0"
="VISpm6a",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="1",="1",="2",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="3",="3",="0",="5",="3",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="3",="1",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd2/3",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="16",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="6",="0",="0",="7",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="3",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd5",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="6",="0",="1",="2",="1",="0",="5",="4",="1",="1",="10",="2",="5",="0",="0",="1",="0",="0",="0",="0",="0",="0",="11",="6",="0",="0",="0",="0",="5",="0",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="2",="1",="0",="0",="2",="2",="0",="4",="2",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="17",="1",="0",="0",="0",="6",="19",="0",="2",="0",="1",="0",="4",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv1",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="4",="11",="6",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv2/3",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="4",="4",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv5",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="5",="15",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="4",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl1",="11",="4",="5",="15",="7",="3",="6",="16",="17",="9",="3",="26",="28",="2",="14",="12",="15",="16",="25",="6",="9",="5",="17",="4",="5",="5",="1",="9",="21",="5",="2",="4",="1",="1",="3",="0",="3",="1",="0",="3",="24",="6",="38",="2",="1",="11",="0",="0",="4",="9",="2",="8",="13",="32",="8",="49",="8",="9",="7",="10",="4",="0",="5",="0",="0",="1",="2",="2",="0",="9",="20",="0",="0",="0",="0",="6",="14",="2",="1",="0",="0",="19",="0",="0",="1",="0",="4",="3",="0",="5",="2",="0",="0",="0",="0",="0",="4",="0",="0",="5",="10",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="5",="0",="1",="2",="5",="0",="0",="2",="1",="18",="1",="0",="0",="0",="0",="1",="1",="0",="0",="2",="1",="0",="3",="2",="0",="0",="0"
="RSPagl2/3",="11",="10",="10",="17",="31",="20",="21",="9",="28",="19",="50",="17",="45",="18",="32",="15",="10",="13",="42",="9",="5",="1",="9",="14",="32",="19",="0",="10",="23",="8",="20",="8",="0",="0",="10",="4",="16",="9",="2",="11",="15",="14",="21",="4",="6",="2",="0",="1",="8",="4",="37",="21",="20",="19",="14",="30",="8",="14",="8",="22",="3",="2",="15",="0",="0",="1",="3",="4",="0",="7",="1",="1",="0",="0",="2",="9",="0",="2",="0",="0",="0",="8",="0",="0",="0",="0",="16",="0",="0",="5",="5",="1",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="2",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="5",="1",="0",="0"
="RSPagl5",="24",="16",="19",="12",="41",="12",="8",="1",="13",="3",="28",="45",="41",="16",="31",="9",="11",="16",="40",="26",="10",="12",="23",="20",="15",="19",="1",="39",="20",="7",="11",="13",="1",="6",="12",="12",="2",="3",="0",="2",="9",="14",="13",="1",="7",="9",="11",="3",="2",="6",="43",="29",="40",="43",="16",="36",="24",="6",="34",="35",="9",="19",="13",="6",="4",="4",="12",="10",="5",="11",="4",="9",="11",="7",="34",="5",="2",="0",="12",="20",="16",="91",="1",="12",="7",="1",="34",="15",="4",="14",="15",="6",="1",="5",="18",="6",="11",="2",="10",="12",="32",="6",="1",="4",="4",="12",="16",="18",="10",="10",="8",="14",="12",="12",="8",="5",="12",="18",="15",="1",="1",="9",="14",="12",="11",="1",="8",="4",="4",="6",="14",="7",="1",="3",="11",="0",="21",="21",="4",="5",="9"
="RSPagl6a",="1",="0",="1",="1",="1",="1",="0",="0",="0",="1",="3",="16",="0",="0",="0",="1",="3",="0",="0",="0",="0",="2",="1",="1",="0",="0",="2",="2",="0",="3",="2",="0",="0",="1",="0",="0",="2",="3",="0",="1",="0",="3",="0",="4",="3",="4",="10",="0",="1",="0",="21",="9",="1",="5",="4",="7",="10",="0",="4",="63",="1",="1",="0",="1",="0",="7",="5",="0",="1",="0",="0",="7",="8",="21",="20",="9",="14",="4",="10",="13",="3",="7",="0",="2",="0",="1",="3",="2",="0",="2",="4",="2",="0",="0",="0",="0",="3",="0",="0",="0",="9",="0",="0",="0",="2",="1",="1",="6",="3",="0",="1",="3",="6",="0",="1",="1",="0",="2",="8",="1",="1",="9",="6",="1",="7",="5",="3",="4",="0",="1",="4",="7",="0",="2",="1",="2",="15",="2",="0",="0",="0"
="RSPd1",="3",="1",="2",="6",="12",="4",="1",="1",="5",="0",="0",="22",="5",="1",="2",="2",="3",="10",="1",="2",="1",="4",="9",="0",="11",="4",="0",="0",="12",="3",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="2",="1",="3",="0",="0",="2",="0",="1",="0",="0",="0",="0",="1",="0",="21",="6",="1",="0",="6",="1",="0",="1",="0",="0",="0",="8",="0",="1",="0",="19",="0",="0",="0",="0",="14",="14",="7",="0",="0",="0",="11",="0",="0",="0",="0",="1",="0",="0",="6",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="1",="1",="1",="1",="0",="0",="4",="0",="0",="0",="0",="0",="0",="3",="0",="3",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0"
="RSPd2/3",="6",="1",="1",="9",="2",="11",="2",="2",="3",="0",="0",="10",="12",="13",="10",="0",="3",="5",="5",="9",="4",="4",="5",="8",="8",="3",="0",="2",="8",="9",="1",="1",="0",="0",="2",="0",="7",="1",="0",="3",="1",="5",="0",="0",="2",="0",="4",="0",="0",="1",="1",="1",="0",="0",="1",="22",="2",="6",="4",="6",="0",="1",="3",="0",="0",="0",="0",="1",="1",="3",="10",="0",="0",="0",="2",="17",="1",="0",="3",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8",="1",="0",="4",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="3",="0",="2",="0"
="RSPd5",="9",="1",="2",="5",="7",="24",="13",="1",="4",="0",="0",="12",="22",="14",="13",="8",="0",="4",="3",="16",="7",="4",="17",="4",="0",="7",="0",="3",="7",="1",="0",="10",="6",="2",="2",="0",="0",="8",="0",="0",="2",="7",="0",="1",="1",="2",="2",="0",="0",="0",="12",="6",="0",="1",="0",="15",="9",="3",="5",="12",="0",="3",="0",="2",="6",="1",="8",="2",="1",="3",="9",="0",="16",="2",="35",="9",="2",="1",="2",="0",="1",="17",="0",="0",="2",="1",="5",="1",="4",="6",="3",="0",="0",="3",="0",="2",="2",="0",="4",="0",="14",="11",="6",="2",="1",="10",="10",="1",="2",="5",="1",="1",="0",="3",="0",="0",="5",="6",="6",="3",="2",="4",="4",="6",="2",="0",="4",="0",="0",="0",="0",="2",="0",="0",="1",="0",="9",="5",="0",="0",="5"
="RSPd6a",="1",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="2",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="5",="0",="0",="9",="0",="0",="8",="28",="3",="0",="0",="4",="6",="6",="11",="0",="4",="0",="1",="0",="16",="2",="16",="12",="2",="0",="2",="0",="2",="30",="16",="39",="8",="11",="1",="2",="0",="0",="4",="0",="0",="4",="0",="2",="1",="3",="3",="0",="1",="0",="3",="0",="2",="4",="3",="0",="3",="24",="1",="5",="0",="0",="0",="0",="0",="1",="0",="1",="4",="0",="2",="0",="0",="0",="0",="9",="2",="2",="1",="1",="3",="0",="0",="0",="1",="1",="0",="1",="3",="0",="2",="1",="3",="11",="6",="0",="4",="9"
